observableId	simulationConditionId	measurement	time	noiseParameters
pEGFRtotId	model_a_1	1.14	240.0	0.05
pGAREMtotId	model_a_1	0.22	240.0	0.05
pGAB1totId	model_a_1	0.00	240.0	0.05
pSHC1totId	model_a_1	0.00	240.0	0.05
aRas3Id	model_a_1	0.67	240.0	0.05
pEGFRtotId	model_a_2	0.01	240.0	0.05
pGAREMtotId	model_a_2	0.52	240.0	0.05
pGAB1totId	model_a_2	0.06	240.0	0.05
pSHC1totId	model_a_2	0.13	240.0	0.05
aRas3Id	model_a_2	0.95	240.0	0.05
pEGFRtotId	model_a_3	2.91	240.0	0.05
pGAREMtotId	model_a_3	0.67	240.0	0.05
pGAB1totId	model_a_3	0.05	240.0	0.05
pSHC1totId	model_a_3	0.66	240.0	0.05
aRas3Id	model_a_3	3.17	240.0	0.05
pEGFRtotId	model_a_4	3.22	240.0	0.05
pGAREMtotId	model_a_4	0.80	240.0	0.05
pGAB1totId	model_a_4	0.56	240.0	0.05
pSHC1totId	model_a_4	1.18	240.0	0.05
aRas3Id	model_a_4	5.76	240.0	0.05
pEGFRtotId	model_a_5	10.41	240.0	0.05
pGAREMtotId	model_a_5	1.18	240.0	0.05
pGAB1totId	model_a_5	1.23	240.0	0.05
pSHC1totId	model_a_5	2.97	240.0	0.05
aRas3Id	model_a_5	10.61	240.0	0.05
pEGFRtotId	model_a_6	19.8	240.0	0.05
pGAREMtotId	model_a_6	1.72	240.0	0.05
pGAB1totId	model_a_6	1.7	240.0	0.05
pSHC1totId	model_a_6	5.91	240.0	0.05
aRas3Id	model_a_6	16.05	240.0	0.05
pEGFRtotId	model_a_7	25.91	240.0	0.05
pGAREMtotId	model_a_7	1.49	240.0	0.05
pGAB1totId	model_a_7	1.66	240.0	0.05
pSHC1totId	model_a_7	6.3	240.0	0.05
aRas3Id	model_a_7	19.87	240.0	0.05
pEGFRtotId	model_a_8	24.81	240.0	0.05
pGAREMtotId	model_a_8	1.51	240.0	0.05
pGAB1totId	model_a_8	1.43	240.0	0.05
pSHC1totId	model_a_8	5.78	240.0	0.05
aRas3Id	model_a_8	19.18	240.0	0.05
pEGFRtotId	model_a_9	33.14	240.0	0.05
pGAREMtotId	model_a_9	1.56	240.0	0.05
pGAB1totId	model_a_9	1.53	240.0	0.05
pSHC1totId	model_a_9	6.05	240.0	0.05
pEGFRtotId	model_b_1	1.14	240.0	0.05
pGAREMtotId	model_b_1	0.22	240.0	0.05
pGAB1totId	model_b_1	0.00	240.0	0.05
pSHC1totId	model_b_1	0.00	240.0	0.05
pShp2totId	model_b_1	2.41	240.0	0.05
aRAStotId	model_b_1	1.43	240.0	0.05
pEGFRtotId	model_b_2	0.01	240.0	0.05
pGAREMtotId	model_b_2	0.52	240.0	0.05
pGAB1totId	model_b_2	0.06	240.0	0.05
pSHC1totId	model_b_2	0.13	240.0	0.05
pShp2totId	model_b_2	2.74	240.0	0.05
aRAStotId	model_b_2	5.38	240.0	0.05
pEGFRtotId	model_b_3	2.91	240.0	0.05
pGAREMtotId	model_b_3	0.67	240.0	0.05
pGAB1totId	model_b_3	0.05	240.0	0.05
pSHC1totId	model_b_3	0.66	240.0	0.05
pShp2totId	model_b_3	3.25	240.0	0.05
aRAStotId	model_b_3	13.43	240.0	0.05
pEGFRtotId	model_b_4	3.22	240.0	0.05
pGAREMtotId	model_b_4	0.8	240.0	0.05
pGAB1totId	model_b_4	0.56	240.0	0.05
pSHC1totId	model_b_4	1.18	240.0	0.05
pShp2totId	model_b_4	3.78	240.0	0.05
aRAStotId	model_b_4	22.8	240.0	0.05
pEGFRtotId	model_b_5	10.41	240.0	0.05
pGAREMtotId	model_b_5	1.18	240.0	0.05
pGAB1totId	model_b_5	1.23	240.0	0.05
pSHC1totId	model_b_5	2.97	240.0	0.05
pShp2totId	model_b_5	5.32	240.0	0.05
aRAStotId	model_b_5	27.78	240.0	0.05
pEGFRtotId	model_b_6	19.8	240.0	0.05
pGAREMtotId	model_b_6	1.72	240.0	0.05
pGAB1totId	model_b_6	1.7	240.0	0.05
pSHC1totId	model_b_6	5.91	240.0	0.05
pShp2totId	model_b_6	8.02	240.0	0.05
aRAStotId	model_b_6	28.0	240.0	0.05
pEGFRtotId	model_b_7	25.91	240.0	0.05
pGAREMtotId	model_b_7	1.49	240.0	0.05
pGAB1totId	model_b_7	1.66	240.0	0.05
pSHC1totId	model_b_7	6.3	240.0	0.05
pShp2totId	model_b_7	9.1	240.0	0.05
aRAStotId	model_b_7	30.43	240.0	0.05
pEGFRtotId	model_b_8	24.81	240.0	0.05
pGAREMtotId	model_b_8	1.51	240.0	0.05
pGAB1totId	model_b_8	1.43	240.0	0.05
pSHC1totId	model_b_8	5.78	240.0	0.05
pShp2totId	model_b_8	8.04	240.0	0.05
aRAStotId	model_b_8	33.65	240.0	0.05
pEGFRtotId	model_b_9	33.14	240.0	0.05
pGAREMtotId	model_b_9	1.56	240.0	0.05
pGAB1totId	model_b_9	1.53	240.0	0.05
pSHC1totId	model_b_9	6.05	240.0	0.05
pShp2totId	model_b_9	6.84	240.0	0.05